Source,Target,EdgeScore,TotalQuotes
radcliffe_udolpho_28_g,radcliffe_udolpho_31_g,294.0,10
radcliffe_udolpho_28_g,radcliffe_udolpho_8_g,281.0,9
radcliffe_udolpho_28_g,radcliffe_udolpho_45_g,260.0,9
radcliffe_udolpho_28_g,radcliffe_udolpho_20_g,175.0,6
radcliffe_udolpho_28_g,radcliffe_udolpho_19_g,308.0,10
radcliffe_udolpho_28_g,radcliffe_udolpho_42_g,217.0,6
radcliffe_udolpho_28_g,radcliffe_udolpho_32_g,117.0,4
radcliffe_udolpho_28_g,radcliffe_udolpho_30_g,145.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_38_g,190.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_24_g,129.0,4
radcliffe_udolpho_28_g,radcliffe_udolpho_23_g,202.0,7
radcliffe_udolpho_28_g,radcliffe_udolpho_55_g,145.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_26_g,204.0,7
radcliffe_udolpho_28_g,radcliffe_udolpho_6_g,143.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_16_g,177.0,6
radcliffe_udolpho_28_g,radcliffe_udolpho_25_g,198.0,7
radcliffe_udolpho_28_g,radcliffe_udolpho_33_g,440.0,15
radcliffe_udolpho_28_g,radcliffe_udolpho_34_g,143.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_50_g,187.0,6
radcliffe_udolpho_28_g,radcliffe_udolpho_18_g,126.0,4
radcliffe_udolpho_28_g,radcliffe_udolpho_13_g,246.0,8
radcliffe_udolpho_28_g,radcliffe_udolpho_48_g,180.0,6
radcliffe_udolpho_28_g,radcliffe_udolpho_22_g,271.0,9
radcliffe_udolpho_28_g,radcliffe_udolpho_10_g,151.0,5
radcliffe_udolpho_28_g,radcliffe_udolpho_12_g,113.0,4
radcliffe_udolpho_28_g,radcliffe_udolpho_27_g,275.0,9
doyle_baskervilles_14_u,doyle_baskervilles_9_u,113.0,4
radcliffe_udolpho_37_g,radcliffe_udolpho_8_g,252.0,8
radcliffe_udolpho_37_g,radcliffe_udolpho_45_g,123.0,4
radcliffe_udolpho_37_g,radcliffe_udolpho_19_g,167.0,6
radcliffe_udolpho_37_g,radcliffe_udolpho_38_g,157.0,5
radcliffe_udolpho_37_g,radcliffe_udolpho_55_g,162.0,5
radcliffe_udolpho_37_g,radcliffe_udolpho_46_g,102.0,3
radcliffe_udolpho_37_g,radcliffe_udolpho_6_g,109.0,3
radcliffe_udolpho_37_g,radcliffe_udolpho_16_g,232.0,8
radcliffe_udolpho_37_g,radcliffe_udolpho_33_g,148.0,5
radcliffe_udolpho_37_g,radcliffe_udolpho_48_g,139.0,5
radcliffe_udolpho_37_g,radcliffe_udolpho_10_g,123.0,4
radcliffe_udolpho_37_g,radcliffe_udolpho_12_g,176.0,6
radcliffe_udolpho_37_g,radcliffe_udolpho_27_g,110.0,4
radcliffe_udolpho_37_g,radcliffe_udolpho_54_g,174.0,6
stoker_dracula_15_g,stoker_dracula_17_g,197.0,6
stoker_dracula_15_g,stoker_dracula_13_g,115.0,3
stoker_dracula_15_g,stoker_dracula_26_g,110.0,4
stoker_dracula_15_g,stoker_dracula_10_g,164.0,5
stoker_dracula_15_g,stoker_dracula_12_g,100.0,3
stoker_dracula_15_g,stoker_dracula_16_g,246.0,8
poe_ruemorgue_1_d,collins_moonstone_88_d,170.0,6
poe_ruemorgue_1_d,doyle_adventures_11_d,147.0,5
poe_ruemorgue_1_d,radcliffe_udolpho_19_g,122.0,4
poe_ruemorgue_1_d,collins_hauntedhotel_4_u,117.0,4
poe_ruemorgue_1_d,christie_secretadversary_18_d,111.0,4
poe_ruemorgue_1_d,collins_moonstone_89_d,170.0,6
poe_ruemorgue_1_d,poe_usher_1_g,203.0,7
poe_ruemorgue_1_d,poe_marieroget_1_d,1227.0,37
poe_ruemorgue_1_d,lewis_monk_4_g,158.0,5
poe_ruemorgue_1_d,shelley_frankenstein_40_g,146.0,5
poe_ruemorgue_1_d,lewis_monk_10_g,122.0,4
poe_ruemorgue_1_d,doyle_adventures_2_d,117.0,4
poe_ruemorgue_1_d,lewis_monk_8_g,117.0,4
poe_ruemorgue_1_d,lewis_monk_1_g,141.0,5
doyle_adventures_7_d,doyle_adventures_1_d,148.0,5
doyle_adventures_7_d,doyle_adventures_11_d,145.0,5
doyle_adventures_7_d,doyle_adventures_8_d,221.0,7
doyle_adventures_7_d,doyle_scarlet_6_d,113.0,4
doyle_adventures_7_d,doyle_adventures_10_d,251.0,8
