TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
lewis_monk_3_g	31	0.9032258064516129	13083	1444	ve me your word that you would 	ve me your word, that you will 
shelley_frankenstein_37_g	31	0.9032258064516129	8069	9480	hat is the cause of all the mis	hat is the cause of all this?” 
christie_secretadversary_16_d	30	0.9	17073	5242	 shrugged his shoulders. “Prov	 shrugged his shoulders. “Pack
austen_northangerabbey_15_g	32	0.90625	11858	14844	 be very glad to see you.” “I fe	 be very glad to see you.” “And 
poe_marieroget_1_d	32	0.90625	17424	20047	 difficulty in recognizing him, 	 difficulty in recognizing it. T
doyle_scarlet_7_d	30	0.9	18520	17956	,” said Sherlock Holmes. “The 	,” said Sherlock Holmes. “It w
doyle_scarlet_7_d	30	0.9	19871	17956	,” said Sherlock Holmes. “You 	,” said Sherlock Holmes. “It w
radcliffe_udolpho_55_g	30	0.9	20087	16400	s, and it is probable that you	s, and it is probable, that th
collins_moonstone_47_d	30	0.9	6462	10432	 that it might have been that 	 that it might have been her s
christie_styles_9_d	30	0.9	17073	5918	 shrugged his shoulders. “Prov	 shrugged his shoulders. “I wo
doyle_baskervilles_3_u	30	0.9	14672	15730	 Sir Henry Baskerville, in my 	 Sir Henry Baskerville in the 
doyle_baskervilles_3_u	33	1.0	17066	4242	 Holmes shrugged his shoulders. “	 Holmes shrugged his shoulders. “
christie_styles_10_d	31	0.9032258064516129	17073	3320	 shrugged his shoulders. “Prove	 shrugged his shoulders. “Surel
christie_styles_13_d	33	0.9393939393939394	5199	8375	 incriminating documents.” “But h	 incriminating document. “But thi
doyle_baskervilles_6_u	43	0.9302325581395349	16443	15722	 that we shall succeed in establishing a co	 that we shall succeed in establishing ours
doyle_adventures_12_d	35	0.9428571428571428	5553	49474	here are several points upon which 	here are several points on which I 
doyle_adventures_12_d	30	0.9	6462	33748	 that it might have been that 	 that it might have been faste
doyle_adventures_12_d	30	0.9	14003	41095	 I remembered that Holmes had 	 I remembered that Toller had 
doyle_adventures_12_d	33	0.9393939393939394	20782	47041	 be very much surprised if it is 	 be very much surprised if this w
doyle_baskervilles_12_u	32	0.9375	7691	2360	 gentleman with the telescope?” 	 gentleman with the telescope, n
doyle_baskervilles_12_u	30	0.9	16297	14715	 the connection is between the	 the connection between the ma
doyle_baskervilles_12_u	33	1.0	17066	21462	 Holmes shrugged his shoulders. “	 Holmes shrugged his shoulders. “
doyle_baskervilles_12_u	36	0.9166666666666666	17272	4764	 papers from his pocket. “Here is a 	 papers from his pocket. “Here are y
dickens_christmascarole_4_g	31	0.9032258064516129	7687	3836	 the gentleman with the telesco	 the gentleman with the excresc
doyle_baskervilles_10_u	32	0.90625	16188	8671	 be at the gate at ten o’clock. 	 be at the gate by ten o clock. 
christie_secretadversary_22_d	30	0.9	17073	4255	 shrugged his shoulders. “Prov	 shrugged his shoulders. “I co
doyle_baskervilles_11_u	38	0.9210526315789473	15905	3079	 the late Sir Charles Baskerville,” sa	 the late Sir Charles Baskerville and 
doyle_baskervilles_11_u	38	0.9210526315789473	15905	3205	 the late Sir Charles Baskerville,” sa	 the late Sir Charles Baskerville that
doyle_baskervilles_11_u	31	0.9354838709677419	16188	5599	 be at the gate at ten o’clock.	 be at the gate by ten o’clock.
doyle_baskervilles_11_u	32	0.9375	19447	6793	 appointment with Sir Charles?” 	 appointment with Sir Charles at
doyle_adventures_4_d	33	0.9696969696969697	7071	43781	m glad to hear you say so,” said 	m glad to hear you say so," said 
doyle_adventures_4_d	30	0.9666666666666667	17421	18003	 no difficulty in recognizing 	 no difficulty in recognising 
doyle_adventures_4_d	30	0.9333333333333333	19873	20155	 said Sherlock Holmes. “You ha	 said Sherlock Holmes. "You ma
doyle_baskervilles_9_u	35	0.9428571428571428	8135	26822	 the Hound of the Baskervilles. We’	 the Hound of the Baskervilles.” He
collins_moonstone_67_d	32	0.90625	7908	15436	s of the House of Commons under 	s of the House of Commons, and w
shelley_frankenstein_32_g	37	0.918918918918919	12307	7390	 should have been happy to have come 	 should have been happy to have posse
doyle_baskervilles_7_u	32	0.96875	8135	13740	 the Hound of the Baskervilles. 	 the Hound of the Baskervilles c
