TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_scarlet_7_d	31	0.9032258064516129	9472	6718	 the discovery of the body had 	 the discovery of the body of t
doyle_scarlet_7_d	34	0.9411764705882353	21327	6718	 the discovery of the body of his 	 the discovery of the body of the 
doyle_scarlet_7_d	31	0.9032258064516129	25025	9756	t is impossible that she could 	t is impossible that it should 
austen_northangerabbey_21_g	30	1.0	27655	1552	, about a foot from the ground	, about a foot from the ground
austen_northangerabbey_21_g	30	0.9	88571	15332	ly out of the question. We thu	ly out of the question. With a
doyle_signoffour_4_d	42	0.9047619047619048	66409	7168	 was caused by the disappearance of this s	 was caused by the disappearance of Captai
doyle_signoffour_4_d	31	0.967741935483871	67098	12188	 mysterious disappearance of Ma	 mysterious disappearance of Ca
doyle_signoffour_6_d	34	0.9411764705882353	56850	10706	ould have anything to do with the 	ould have nothing to do with the m
reeve_oldenglishbaron	36	0.9166666666666666	10644	8391	 myself at liberty to disclose, but 	 myself at liberty to disclose at th
reeve_oldenglishbaron	32	0.90625	76680	1314	r judgment in regard to the othe	r judgment, in regard to the pro
doyle_scarlet_3_d	30	0.9	6928	11927	 murder had been committed,) t	 murder has been committed. It
doyle_scarlet_3_d	31	0.9032258064516129	25443	11927	 murder had been committed at t	 murder has been committed. It 
doyle_scarlet_3_d	30	0.9	32097	11927	 murder had been committed. Th	 murder has been committed. It
doyle_scarlet_3_d	32	0.90625	53981	6943	, under the circumstances, there	, under the circumstances, seeme
doyle_scarlet_3_d	32	0.90625	89751	12474	 the minuteness with which I hav	 the minuteness with which it wa
christie_styles_9_d	31	0.9032258064516129	53442	10798	t must have been by an accident	t must have been an accident. B
stoker_dracula_23_g	30	0.9	53981	1041	, under the circumstances, the	, under the circumstances, of 
stoker_dracula_23_g	30	0.9	100578	1044	nder the circumstances of larg	nder the circumstances, of abs
doyle_scarlet_11_d	30	0.9	81344	13514	 difficult to believe that the	 difficult to realize that the
radcliffe_udolpho_1_g	31	1.0	3560	25673	 it is not surprising that the 	 it is not surprising that the 
radcliffe_udolpho_1_g	31	0.9032258064516129	66890	42196	 of the same nature, and that, 	 of the same nature as that, fr
radcliffe_udolpho_1_g	32	0.96875	67675	1204	, with his wife and daughter, en	, with his wife and daughter, on
radcliffe_udolpho_1_g	32	0.90625	97261	42634	 and the reflection that it had 	 and the reflections that had ca
collins_moonstone_58_d	30	0.9	53981	10636	, under the circumstances, the	, under those circumstances, a
christie_styles_10_d	30	0.9	53981	5596	, under the circumstances, the	, under the circumstances. “Th
christie_styles_13_d	30	0.9	68005	13806	 discovered that she had left 	 discovered that she had told 
christie_styles_13_d	33	0.9090909090909091	107166	4189	 evidence against himself. His na	 evidence against himself. He wis
collins_moonstone_77_d	31	0.9032258064516129	16125	5498	 from the spot at which it was 	 from the date at which it was 
collins_moonstone_70_d	30	0.9	67334	3495	ed, providentially led to her 	ed, providentially led, to rev
stoker_dracula_18_g	35	0.9428571428571428	33110	22100	 that our first step should be the 	 that our first step should be to a
collins_hauntedhotel_26_u	30	0.9	44613	21076	 under the influence of the ga	 under the influence of her ow
collins_hauntedhotel_26_u	30	0.9333333333333333	70194	7637	 between the first and second 	 between the First and Second 
reeve_oldenglishbaron	36	0.9166666666666666	10644	8391	 myself at liberty to disclose, but 	 myself at liberty to disclose at th
reeve_oldenglishbaron	32	0.90625	76680	1314	r judgment in regard to the othe	r judgment, in regard to the pro
radcliffe_udolpho_16_g	30	0.9	12992	67676	that she should never see Mari	that she should never see Vala
radcliffe_udolpho_16_g	30	0.9	58597	18119	 the conclusion that she, in h	 the conclusion, that she migh
radcliffe_udolpho_16_g	31	0.9354838709677419	84345	19189	 that, in consequence of these 	 that, in consequence of this e
radcliffe_udolpho_25_g	31	0.9032258064516129	13810	12503	, after some hesitation, identi	, after some hesitation, desire
radcliffe_udolpho_25_g	30	0.9	83357	527	 the circumstance of the artic	 the circumstance of the prece
radcliffe_udolpho_33_g	30	0.9666666666666667	42185	4655	 the difference between the we	 the difference between the wa
shelley_frankenstein_53_g	30	0.9333333333333333	9472	2512	 the discovery of the body had	 the discovery of the body, wh
shelley_frankenstein_53_g	34	0.9117647058823529	21324	2509	 of the discovery of the body of h	 of the discovery of the body, whe
shelley_frankenstein_53_g	30	0.9	36457	1286	 that the body was not thrown 	 that the body was not then co
doyle_baskervilles_12_u	35	0.9428571428571428	19637	5726	 it is exceedingly improbable that 	 it is exceedingly probable that I 
doyle_baskervilles_12_u	30	0.9	48088	5726	 it is exceedingly improbable,	 it is exceedingly probable th
austen_northangerabbey_22_g	30	0.9	15201	3187	ould have been no difficulty i	ould have been so difficult to
doyle_baskervilles_10_u	30	0.9666666666666667	56854	13736	 have anything to do with the 	 have anything to do with her 
christie_styles_6_d	30	0.9666666666666667	25032	3054	possible that she could have g	possible that she could have s
christie_styles_6_d	30	0.9	42578	1525	 at the bottom of the river, w	 at the bottom of the crime, o
christie_styles_6_d	32	0.90625	75425	4018	 under certain conditions, is no	 under certain conditions, none 
austen_northangerabbey_14_g	31	0.9032258064516129	75944	10427	. In the present instance, it a	. In the present instance, she 
doyle_signoffour_11_d	31	0.9032258064516129	42580	5714	t the bottom of the river, will	t the bottom of the river," sai
doyle_baskervilles_11_u	30	0.9	51467	330	without reference to the quest	without reference to the notes
collins_moonstone_61_d	30	0.9	100574	1348	e. Under the circumstances of 	e. Under these circumstances, 
collins_moonstone_80_d	30	0.9	53982	1331	 under the circumstances, ther	 under the circumstances, to o
radcliffe_udolpho_36_g	30	0.9333333333333333	49486	12834	 the moment of her leaving her	 the moment of her leaving Par
reeve_oldenglishbaron	36	0.9166666666666666	10644	8391	 myself at liberty to disclose, but 	 myself at liberty to disclose at th
reeve_oldenglishbaron	32	0.90625	76680	1314	r judgment in regard to the othe	r judgment, in regard to the pro
christie_styles_11_d	38	0.9210526315789473	70986	24217	r attention to the fact, that the time	r attention to the fact that the evide
christie_styles_11_d	30	0.9	83377	17084	 the articles in question havi	 the articles in question migh
christie_styles_11_d	31	1.0	91477	17079	 that the articles in question 	 that the articles in question 
stoker_dracula_12_g	30	0.9	27075	16654	 with the action of the rain a	 with the action of tearing, a
stoker_dracula_12_g	30	0.9	79806	16655	with the action of the rain, a	with the action of tearing, as
stoker_dracula_12_g	36	0.9166666666666666	113412	26211	 distance from the scene of the atro	 distance from the scene of their la
dickens_christmascarole_2_g	30	0.9	4614	29267	, the mother and daughter had 	, the mother and daughter laug
austen_northangerabbey_2_g	30	0.9	56733	10266	 conversation with the gendarm	 conversation with the gentlem
christie_styles_5_d	31	0.9032258064516129	19884	39106	e that the body must have been 	e that the door must have been 
christie_styles_5_d	30	0.9	100575	5791	. Under the circumstances of l	. Under the circumstances, we 
austen_northangerabbey_28_g	33	0.9393939393939394	32300	4865	 under such circumstances as to l	 under such circumstances as woul
austen_northangerabbey_28_g	30	0.9	37428	4865	 under such circumstances, tha	 under such circumstances as w
