TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
doyle_adventures_7_d	32	0.90625	78468	1319	 in the solution of this mystery	 in the solution of some mystery
collins_moonstone_83_d	31	0.9032258064516129	63503	17099	, under the circumstances, has 	, under the circumstances—that 
radcliffe_udolpho_31_g	30	0.9333333333333333	77922	6567	ration of the circumstances (w	ration of the circumstances sh
collins_hauntedhotel_8_u	30	0.9333333333333333	37973	17288	ation on the subject of the mu	ation on the subject of the le
radcliffe_udolpho_8_g	31	0.9354838709677419	50434	16278	 with the consideration that he	 with the consideration, that, 
radcliffe_udolpho_8_g	32	0.90625	57206	28642	e would have formed something mo	e would have offered something o
radcliffe_udolpho_45_g	35	0.9142857142857143	28429	10131	ed, with the key on the inside. A s	ed, with the key on the inside; it 
radcliffe_udolpho_45_g	31	0.9032258064516129	37965	23034	 conversation on the subject of	 conversation on this subject, 
stoker_dracula_8_g	30	0.9333333333333333	62903	20086	 in exact accordance with this	 in exact accordance with inst
christie_secretadversary_8_d	32	0.90625	28311	10826	 door between the two rooms was 	 door between the two rooms, up 
collins_moonstone_82_d	30	0.9	73617	2013	 o’clock in the morning. In pa	 o’clock in the morning. Is th
collins_moonstone_88_d	30	0.9333333333333333	8265	91049	as deeply interested in the li	as deeply interested in them a
collins_moonstone_88_d	33	0.9090909090909091	13519	81586	 to the conclusion that the mende	 to the conclusion that the dose 
collins_moonstone_88_d	31	0.9032258064516129	22157	29323	 furniture in any part of the b	 furniture in that part of the 
collins_moonstone_88_d	31	0.9032258064516129	67010	6321	 as the possessor of the beast.	 as the possessor of the stone.
collins_moonstone_88_d	30	0.9	75259	99158	to the middle of the room. It 	to the middle of the room, wit
collins_moonstone_88_d	30	0.9666666666666667	75259	101036	to the middle of the room. It 	to the middle of the room. I c
doyle_adventures_1_d	32	0.9375	38138	19680	here was something in his manner	here was something in his master
doyle_adventures_1_d	34	0.9411764705882353	45385	12492	t is not too much to say that neit	t is not too much to say that it i
doyle_adventures_11_d	31	0.9032258064516129	6007	43789	 the true state of affairs. The	 the true state of affairs with
doyle_adventures_11_d	36	0.9166666666666666	20748	20432	 of every portion of the house, with	 of every portion of the house where
doyle_adventures_11_d	30	0.9	33577	8575	 it would be possible to trace	 it would be impossible to rep
doyle_adventures_11_d	33	0.9090909090909091	51383	41035	 through the window which looked 	 through the window which leads i
doyle_adventures_11_d	32	0.90625	66837	8575	 it would be impossible to prove	 it would be impossible to repla
collins_hauntedhotel_18_u	31	0.9032258064516129	55459	3675	 the interior of the room. Let 	 the interior of the room with 
collins_hauntedhotel_18_u	33	0.9090909090909091	74854	3675	 the interior of the room. At thi	 the interior of the room with th
doyle_signoffour_2_d	32	0.9375	61640	6777	 out the paper upon the table be	 out the papers upon the table, 
radcliffe_udolpho_43_g	30	0.9	66071	10461	ed by some circumstance into w	ed by some circumstance withou
stoker_dracula_7_g	30	0.9	24666	16414	ould not make out what was sai	ould not make out what was wro
stoker_dracula_17_g	30	0.9666666666666667	13519	23478	 to the conclusion that the me	 to the conclusion that the be
doyle_adventures_8_d	32	0.90625	13519	49251	 to the conclusion that the mend	 to the conclusion that the doct
doyle_adventures_8_d	35	0.9714285714285714	22262	51688	 that he has been in the habit of s	 that he had been in the habit of s
doyle_adventures_8_d	32	0.90625	23877	42707	 little difficulty in getting it	 little difficulty in entering t
stoker_dracula_27_g	40	0.925	36331	25470	It was late in the afternoon when we rea	It was late in the afternoon when the Pr
collins_moonstone_87_d	30	0.9666666666666667	70013	30544	. He started to his feet and g	. He started to his feet, and 
austen_northangerabbey_30_g	30	0.9333333333333333	34962	7555	 in the contemplation of the h	 in the contemplation of her o
collins_hauntedhotel_13_u	30	0.9	63503	5503	, under the circumstances, has	, under the circumstances. Mrs
collins_moonstone_45_d	32	0.90625	63504	2653	 under the circumstances, has be	 under the circumstances, I beg 
collins_hauntedhotel_28_u	31	0.9354838709677419	23512	7048	, with the exception of the lar	, with the exception of the hea
radcliffe_udolpho_20_g	30	0.9333333333333333	48843	43325	 circumstances attending the n	 circumstances attending that 
radcliffe_udolpho_20_g	31	0.9032258064516129	64836	780	e, early in the morning of the-	e, early in the morning, for te
stoker_dracula_4_g	30	0.9	73984	25527	 back against the wall, and, b	 back against the wall; and th
stoker_dracula_22_g	31	0.9354838709677419	13519	27086	 to the conclusion that the men	 to the conclusion that the din
stoker_dracula_22_g	30	0.9	51391	26476	 the window which looked upon 	 the window which looked out a
radcliffe_udolpho_19_g	30	0.9	24386	75561	 distinguish some words of the	 distinguished some words of C
radcliffe_udolpho_19_g	39	0.9230769230769231	27983	32529	 that the door of the chamber in which 	 that the door of the chamber, which co
radcliffe_udolpho_19_g	32	0.9375	67609	77657	se had been left open, and the v	se had been left open, and that 
radcliffe_udolpho_19_g	32	0.90625	73196	38566	h the door of the chamber, down 	h the door of the chamber, and, 
