TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
shelley_frankenstein_53_g	33	0.9090909090909091	25954	3275	 did not appear to know, that she	 did not appear to know the shore
doyle_baskervilles_12_u	33	0.9090909090909091	27925	932	I never was so glad to see any bo	I never was more glad to see anyo
collins_hauntedhotel_23_u	35	0.9428571428571428	21068	6182	 In the present state of his mind, 	 In the present state of her mind, 
radcliffe_udolpho_2_g	32	0.9375	12559	15731	 a light glimmered through one o	 a light glimmered through some 
radcliffe_udolpho_2_g	30	0.9	20765	16079	 the stair-case, and then paus	 the stair-case, and then step
radcliffe_udolpho_2_g	30	0.9333333333333333	25905	17178	 she perceived it to be the vo	 she perceived it to be that o
radcliffe_udolpho_2_g	31	0.9032258064516129	28454	4021	 without interruption, and, Ann	 without interruption, and then
radcliffe_udolpho_2_g	30	0.9333333333333333	40642	2813	t, on the other hand, if all s	t, on the other hand, is all v
radcliffe_udolpho_15_g	35	0.9142857142857143	2869	3852	 the scarcity of provision on these	 the scarcity of provision and othe
radcliffe_udolpho_15_g	30	0.9	10730	15401	!' said she to herself, 'I am 	!' said she to herself, 'if Va
radcliffe_udolpho_15_g	33	0.9090909090909091	17597	20164	 the way to her chamber, without 	 the way to her chamber, whither 
radcliffe_udolpho_15_g	31	0.967741935483871	33774	125	 on the following morning, she 	 on the following morning, the 
doyle_baskervilles_11_u	32	0.90625	40646	11212	n the other hand, if all should 	n the other hand, if I should fi
collins_hauntedhotel_5_u	31	0.9032258064516129	20591	8365	 in a remote part of the castle	 in a remote part of the palace
shelley_frankenstein_48_g	31	0.9354838709677419	6101	10053	 continued to wind along the va	 continued to wind among the pa
shelley_frankenstein_48_g	30	0.9	24396	4738	 for a few minutes, at the end	 for a few minutes, and then d
shelley_frankenstein_48_g	30	0.9	28934	10317	when I heard the shouts of vic	when I heard the sound of voic
doyle_baskervilles_9_u	30	0.9	20852	19279	 into the darkness of the gall	 into the darkness of the nigh
radcliffe_udolpho_36_g	30	0.9333333333333333	9569	1370	 and, in the next moment, she 	 and, in the next moment, was 
radcliffe_udolpho_36_g	30	0.9	12561	9061	 light glimmered through one o	 light glimmered through a doo
radcliffe_udolpho_34_g	31	0.9032258064516129	9569	12469	 and, in the next moment, she h	 and, in the next moment, sunk 
radcliffe_udolpho_34_g	32	0.9375	18797	8526	 Montoni and his companions issu	 Montoni and his companions shou
