TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
lewis_monk_3_g	32	0.90625	9431	66435	 I could not resist the temptati	 I could not resist the entreati
stoker_dracula_26_g	30	0.9	762	14710	 he must have suffered, whethe	 he must have suffered, what m
stoker_dracula_26_g	30	0.9333333333333333	11054	6596	 "Oh, Madam Mina," he said, "h	 "Oh, Madam Mina," he said, sa
stoker_dracula_26_g	34	0.9411764705882353	19132	7676	 _Jonathan Harker's Journal._ _26 	 _Jonathan Harker's Journal._ _30 
stoker_dracula_26_g	31	1.0	19132	28864	 _Jonathan Harker's Journal._ _	 _Jonathan Harker's Journal._ _
stoker_dracula_26_g	30	0.9	23473	34148	 _Dr. Seward's Diary._ _26 Sep	 _Dr. Seward's Diary._ _2 Nove
stoker_dracula_26_g	34	0.9117647058823529	32447	24909	, Professor Van Helsing, what do y	, Professor Van Helsing, that you 
radcliffe_udolpho_39_g	31	0.9032258064516129	32601	2282	 his face with his hands as he 	 his face with his hand, as if 
christie_secretadversary_16_d	30	0.9	25457	11554	 did not quite understand his 	 did not quite understand. “Sh
doyle_signoffour_8_d	31	0.9032258064516129	24892	11878	. "What do you think of that?" 	. "What do you think of it?" "I
doyle_scarlet_7_d	30	0.9	10946	9728	dly up and down the room, his 	dly up and down the room; “it 
doyle_scarlet_7_d	32	0.90625	19223	12890	, but the time has come. When I 	, but the time has come when we 
doyle_scarlet_3_d	30	0.9	24895	16297	What do you think of that?" he	What do you think of that?” cr
stoker_dracula_23_g	35	0.9142857142857143	19132	19844	 _Jonathan Harker's Journal._ _26 S	 _Jonathan Harker's Journal._ _3-4 
stoker_dracula_25_g	34	0.9411764705882353	19132	8732	 _Jonathan Harker's Journal._ _26 	 _Jonathan Harker's Journal._ _15 
stoker_dracula_25_g	30	0.9333333333333333	23471	14075	." _Dr. Seward's Diary._ _26 S	." _Dr. Seward's Diary._ _25 O
stoker_dracula_25_g	30	0.9333333333333333	23471	18862	." _Dr. Seward's Diary._ _26 S	." _Dr. Seward's Diary._ _28 O
stoker_dracula_6_g	34	0.9117647058823529	8510	17138	. I asked him what it was that he 	. I asked him what it was, and he 
stoker_dracula_6_g	30	0.9	10860	11259	 in order that he might not be	 in order that she mightn't ge
stoker_dracula_6_g	37	0.918918918918919	25455	7971	 I did not quite understand his answe	 I did not quite understand his diale
doyle_scarlet_9_d	30	0.9333333333333333	11993	3239	 and all that belongs to him a	 and all that belonged to him 
stoker_dracula_18_g	32	0.90625	15553	8778	 said:-- "Dr. Van Helsing, what 	 said:-- "Dr. Van Helsing, will 
stoker_dracula_18_g	31	0.9354838709677419	15553	32606	 said:-- "Dr. Van Helsing, what	 said:-- "Dr. Van Helsing, I ha
stoker_dracula_18_g	37	0.9459459459459459	19142	9736	 Harker's Journal._ _26 September._--	 Harker's Journal._ _30 September._--
stoker_dracula_18_g	30	0.9	20122	840	 me. When I came into the room	 me. When I went into the room
stoker_dracula_18_g	30	0.9	26573	19407	 there are things which you ca	 there are things which so aff
stoker_dracula_11_g	45	0.9111111111111111	23471	20450	." _Dr. Seward's Diary._ _26 September._--Tru	." _Dr. Seward's Diary._ _18 September._--Jus
collins_moonstone_85_d	30	0.9	10559	9093	 want to ask you some things w	 want to ask you something,” I
